"Chapter","Code","CodeLength","Description","DescriptionSource"
"1","A00","3","Cholera","Edition5"
"1","A000","4","Cholera due to Vibrio cholerae 01, biovar cholerae","Edition5"
"1","A001","4","Cholera due to Vibrio cholerae 01, biovar eltor","Edition5"
"1","A009","4","Cholera, unspecified","Edition5"
"1","A01","3","Typhoid and paratyphoid fevers","Edition5"
"1","A010","4","Typhoid fever","Edition5"
"1","A011","4","Paratyphoid fever A","Edition5"
"1","A012","4","Paratyphoid fever B","Edition5"
"1","A013","4","Paratyphoid fever C","Edition5"
"1","A014","4","Paratyphoid fever, unspecified","Edition5"
"1","A02","3","Other salmonella infections","Edition5"
"1","A020","4","Salmonella enteritis","Edition5"
"1","A021","4","Salmonella sepsis","Edition5"
"1","A022","4","Localized salmonella infections","Edition5"
"1","A028","4","Other specified salmonella infections","Edition5"
"1","A029","4","Salmonella infection, unspecified","Edition5"
"1","A03","3","Shigellosis","Edition5"
"1","A030","4","Shigellosis due to Shigella dysenteriae","Edition5"
"1","A031","4","Shigellosis due to Shigella flexneri","Edition5"
"1","A032","4","Shigellosis due to Shigella boydii","Edition5"
"1","A033","4","Shigellosis due to Shigella sonnei","Edition5"
"1","A038","4","Other shigellosis","Edition5"
"1","A039","4","Shigellosis, unspecified","Edition5"
"1","A04","3","Other bacterial intestinal infections","Edition5"
"1","A040","4","Enteropathogenic Escherichia coli infection","Edition5"
"1","A041","4","Enterotoxigenic Escherichia coli infection","Edition5"
"1","A042","4","Enteroinvasive Escherichia coli infection","Edition5"
"1","A043","4","Enterohaemorrhagic Escherichia coli infection","Edition5"
"1","A044","4","Other intestinal Escherichia coli infections","Edition5"
"1","A045","4","Campylobacter enteritis","Edition5"
"1","A046","4","Enteritis due to Yersinia enterocolitica","Edition5"
"1","A047","4","Enterocolitis due to Clostridium difficile","Edition5"
"1","A048","4","Other specified bacterial intestinal infections","Edition5"
"1","A049","4","Bacterial intestinal infection, unspecified","Edition5"
"1","A05","3","Other bacterial foodborne intoxications, not elsewhere classified","Edition5"
"1","A050","4","Foodborne staphylococcal intoxication","Edition5"
"1","A051","4","Botulism","Edition5"
"1","A052","4","Foodborne Clostridium perfringens [Clostridium welchii] intoxication","Edition5"
"1","A053","4","Foodborne Vibrio parahaemolyticus intoxication","Edition5"
"1","A054","4","Foodborne Bacillus cereus intoxication","Edition5"
"1","A058","4","Other specified bacterial foodborne intoxications","Edition5"
"1","A059","4","Bacterial foodborne intoxication, unspecified","Edition5"
"1","A06","3","Amoebiasis","Edition5"
"1","A060","4","Acute amoebic dysentery","Edition5"
"1","A061","4","Chronic intestinal amoebiasis","Edition5"
"1","A062","4","Amoebic nondysenteric colitis","Edition5"
"1","A063","4","Amoeboma of intestine","Edition5"
"1","A064","4","Amoebic liver abscess","Edition5"
"1","A065","4","Amoebic lung abscess","Edition5"
"1","A066","4","Amoebic brain abscess","Edition5"
"1","A067","4","Cutaneous amoebiasis","Edition5"
"1","A068","4","Amoebic infection of other sites","Edition5"
"1","A069","4","Amoebiasis, unspecified","Edition5"
"1","A07","3","Other protozoal intestinal diseases","Edition5"
"1","A070","4","Balantidiasis","Edition5"
"1","A071","4","Giardiasis [lambliasis]","Edition5"
"1","A072","4","Cryptosporidiosis","Edition5"
"1","A073","4","Isosporiasis","Edition5"
"1","A078","4","Other specified protozoal intestinal diseases","Edition5"
"1","A079","4","Protozoal intestinal disease, unspecified","Edition5"
"1","A08","3","Viral and other specified intestinal infections","Edition5"
"1","A080","4","Rotaviral enteritis","Edition5"
"1","A081","4","Acute gastroenteropathy due to Norwalk agent","Edition5"
"1","A082","4","Adenoviral enteritis","Edition5"
"1","A083","4","Other viral enteritis","Edition5"
"1","A084","4","Viral intestinal infection, unspecified","Edition5"
"1","A085","4","Other specified intestinal infections","Edition5"
"1","A09","3","Other gastroenteritis and colitis of infectious and unspecified origin","Edition5"
"1","A090","4","Other and unspecified gastroenteritis and colitis of infectious origin","Edition5"
"1","A099","4","Gastroenteritis and colitis of unspecified origin","Edition5"
"1","A15","3","Respiratory tuberculosis, bacteriologically and histologically confirmed","Edition5"
"1","A150","4","Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Edition5"
"1","A151","4","Tuberculosis of lung, confirmed by culture only","Edition5"
"1","A152","4","Tuberculosis of lung, confirmed histologically","Edition5"
"1","A153","4","Tuberculosis of lung, confirmed by unspecified means","Edition5"
"1","A154","4","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Edition5"
"1","A155","4","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Edition5"
"1","A156","4","Tuberculous pleurisy, confirmed bacteriologically and histologically","Edition5"
"1","A157","4","Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Edition5"
"1","A158","4","Other respiratory tuberculosis, confirmed bacteriologically and histologically","Edition5"
"1","A159","4","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Edition5"
"1","A16","3","Respiratory tuberculosis, not confirmed bacteriologically or histologically","Edition5"
"1","A160","4","Tuberculosis of lung, bacteriologically and histologically negative","Edition5"
"1","A161","4","Tuberculosis of lung, bacteriological and histological examination not done","Edition5"
"1","A162","4","Tuberculosis of lung, without mention of bacteriological or histological confirmation","Edition5"
"1","A163","4","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Edition5"
"1","A164","4","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Edition5"
"1","A165","4","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","Edition5"
"1","A167","4","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation","Edition5"
"1","A168","4","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","Edition5"
"1","A169","4","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","Edition5"
"1","A17","3","Tuberculosis of nervous system","Edition5"
"1","A170","4","Tuberculous meningitis","Edition5"
"1","A171","4","Meningeal tuberculoma","Edition5"
"1","A178","4","Other tuberculosis of nervous system","Edition5"
"1","A179","4","Tuberculosis of nervous system, unspecified","Edition5"
"1","A18","3","Tuberculosis of other organs","Edition5"
"1","A180","4","Tuberculosis of bones and joints","Edition5"
"1","A181","4","Tuberculosis of genitourinary system","Edition5"
"1","A182","4","Tuberculous peripheral lymphadenopathy","Edition5"
"1","A183","4","Tuberculosis of intestines, peritoneum and mesenteric glands","Edition5"
"1","A184","4","Tuberculosis of skin and subcutaneous tissue","Edition5"
"1","A185","4","Tuberculosis of eye","Edition5"
"1","A186","4","Tuberculosis of ear","Edition5"
"1","A187","4","Tuberculosis of adrenal glands","Edition5"
"1","A188","4","Tuberculosis of other specified organs","Edition5"
"1","A19","3","Miliary tuberculosis","Edition5"
"1","A190","4","Acute miliary tuberculosis of a single specified site","Edition5"
"1","A191","4","Acute miliary tuberculosis of multiple sites","Edition5"
"1","A192","4","Acute miliary tuberculosis, unspecified","Edition5"
"1","A198","4","Other miliary tuberculosis","Edition5"
"1","A199","4","Miliary tuberculosis, unspecified","Edition5"
"1","A20","3","Plague","Edition5"
"1","A200","4","Bubonic plague","Edition5"
"1","A201","4","Cellulocutaneous plague","Edition5"
"1","A202","4","Pneumonic plague","Edition5"
"1","A203","4","Plague meningitis","Edition5"
"1","A207","4","Septicaemic plague","Edition5"
"1","A208","4","Other forms of plague","Edition5"
"1","A209","4","Plague, unspecified","Edition5"
"1","A21","3","Tularaemia","Edition5"
"1","A210","4","Ulceroglandular tularaemia","Edition5"
"1","A211","4","Oculoglandular tularaemia","Edition5"
"1","A212","4","Pulmonary tularaemia","Edition5"
"1","A213","4","Gastrointestinal tularaemia","Edition5"
"1","A217","4","Generalized tularaemia","Edition5"
"1","A218","4","Other forms of tularaemia","Edition5"
"1","A219","4","Tularaemia, unspecified","Edition5"
"1","A22","3","Anthrax","Edition5"
"1","A220","4","Cutaneous anthrax","Edition5"
"1","A221","4","Pulmonary anthrax","Edition5"
"1","A222","4","Gastrointestinal anthrax","Edition5"
"1","A227","4","Anthrax sepsis","Edition5"
"1","A228","4","Other forms of anthrax","Edition5"
"1","A229","4","Anthrax, unspecified","Edition5"
"1","A23","3","Brucellosis","Edition5"
"1","A230","4","Brucellosis due to Brucella melitensis","Edition5"
"1","A231","4","Brucellosis due to Brucella abortus","Edition5"
"1","A232","4","Brucellosis due to Brucella suis","Edition5"
"1","A233","4","Brucellosis due to Brucella canis","Edition5"
"1","A238","4","Other brucellosis","Edition5"
"1","A239","4","Brucellosis, unspecified","Edition5"
"1","A24","3","Glanders and melioidosis","Edition5"
"1","A240","4","Glanders","Edition5"
"1","A241","4","Acute and fulminating melioidosis","Edition5"
"1","A242","4","Subacute and chronic melioidosis","Edition5"
"1","A243","4","Other melioidosis","Edition5"
"1","A244","4","Melioidosis, unspecified","Edition5"
"1","A25","3","Rat-bite fevers","Edition5"
"1","A250","4","Spirillosis","Edition5"
"1","A251","4","Streptobacillosis","Edition5"
"1","A259","4","Rat-bite fever, unspecified","Edition5"
"1","A26","3","Erysipeloid","Edition5"
"1","A260","4","Cutaneous erysipeloid","Edition5"
"1","A267","4","Erysipelothrix sepsis","Edition5"
